title,notes,download-request-name,download-request-URL,download-request-format,technical_report-name,technical_report-URL,technical_report-format,codebook-name,codebook-URL,codebook-format,additional_material-name,additional_material-URL,additional_material-format,license,dataset_name,location,latitude,longitude,start_date,end_date,dataset_type,sensor_type,size,dataset_format,other_format,number_participants,language,collection_name,project_url,organization,domain,5_stars,publication_date,identifier,request_contact
2021-CH2-Asunción-Questionnaire Exit Survey,"The dataset contains profiling questions, e.g., demographics, routines, personality. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_LivePeople_Chatbot2_Data_Descriptor,https://drive.google.com/file/d/1ilA2_f5HPHt5-4EvscsKo_lL-BgeFoF9/view?usp=sharing,PDF,Exit_survey.html,https://drive.google.com/file/d/1eUwf7xUvSUH5SoSmzr3MdELcUQaDu2pn/view?usp=sharing,html,,,,./../../resources/2023LivePeopleLicense.html,Questionnaire Exit Survey,Asunción (Paraguay),25.26,57.57,2022-09-18,2022-09-22,Synchronic-Interactions,unknown,"0,03 MB",parquet,csv,23,unknown,ChatApplication2,https://www.internetofus.eu/,"Universidad Católica ""Nuestra Señora de la Asunción""",Digital University,3,2023-04-18,005.AAAG.AAD.AA,datadistribution.knowdive@unitn.it
2021-CH2-Asunción-Chat,"The dataset contains self-reported annotations in form of time diaries, provided by the participants every half hour. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_LivePeople_Chatbot2_Data_Descriptor,https://drive.google.com/file/d/1ilA2_f5HPHt5-4EvscsKo_lL-BgeFoF9/view?usp=sharing,PDF,Chat_data.html,https://drive.google.com/file/d/1O5JTS9RDqS47ZmvbsAEA6HAM2ZFYftw5/view?usp=sharing,html,,,,./../../resources/2023LivePeopleLicense.html,Chat,Asunción (Paraguay),25.26,57.57,2022-09-18,2022-09-22,Diachronic-Interactions,unknown,"0,32 MB",parquet,csv,22,unknown,ChatApplication2,https://www.internetofus.eu/,"Universidad Católica ""Nuestra Señora de la Asunción""",Digital University,3,2023-04-18,005.AAAG.AAD.CA,datadistribution.knowdive@unitn.it
2021-CH2-Copenhagen-Questionnaire Exit Survey,"The dataset contains profiling questions, e.g., demographics, routines, personality. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_LivePeople_Chatbot2_Data_Descriptor,https://drive.google.com/file/d/1ilA2_f5HPHt5-4EvscsKo_lL-BgeFoF9/view?usp=sharing,PDF,Exit_survey.html,https://drive.google.com/file/d/1eUwf7xUvSUH5SoSmzr3MdELcUQaDu2pn/view?usp=sharing,html,,,,./../../resources/2023LivePeopleLicense.html,Questionnaire Exit Survey,Copenhagen (Denmark),55.67,12.56,2022-09-18,2022-09-22,Synchronic-Interactions,unknown,"0,04 MB",parquet,csv,46,unknown,ChatApplication2,https://www.internetofus.eu/,Aalborg University,Digital University,3,2023-04-18,005.AAAG.AAC.AA,datadistribution.knowdive@unitn.it
2021-CH2-Copenhagen-Chat,"The dataset contains self-reported annotations in form of time diaries, provided by the participants every half hour. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_LivePeople_Chatbot2_Data_Descriptor,https://drive.google.com/file/d/1ilA2_f5HPHt5-4EvscsKo_lL-BgeFoF9/view?usp=sharing,PDF,Chat_data.html,https://drive.google.com/file/d/1O5JTS9RDqS47ZmvbsAEA6HAM2ZFYftw5/view?usp=sharing,html,,,,./../../resources/2023LivePeopleLicense.html,Chat,Copenhagen (Denmark),55.67,12.56,2022-09-18,2022-09-22,Diachronic-Interactions,unknown,"0,57 MB",parquet,csv,35,unknown,ChatApplication2,https://www.internetofus.eu/,Aalborg University,Digital University,3,2023-04-18,005.AAAG.AAC.CA,datadistribution.knowdive@unitn.it
2021-CH2-London-Questionnaire Exit Survey,"The dataset contains profiling questions, e.g., demographics, routines, personality. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_LivePeople_Chatbot2_Data_Descriptor,https://drive.google.com/file/d/1ilA2_f5HPHt5-4EvscsKo_lL-BgeFoF9/view?usp=sharing,PDF,Exit_survey.html,https://drive.google.com/file/d/1eUwf7xUvSUH5SoSmzr3MdELcUQaDu2pn/view?usp=sharing,html,,,,./../../resources/2023LivePeopleLicense.html,Questionnaire Exit Survey,London (United Kingdom),51.5,0.12,2022-09-18,2022-09-22,Synchronic-Interactions,unknown,"0,02 MB",parquet,csv,19,unknown,ChatApplication2,https://www.internetofus.eu/,London School of Economics,Digital University,3,2023-04-18,005.AAAG.AAE.AA,datadistribution.knowdive@unitn.it
2021-CH2-London-Chat,"The dataset contains self-reported annotations in form of time diaries, provided by the participants every half hour. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_LivePeople_Chatbot2_Data_Descriptor,https://drive.google.com/file/d/1ilA2_f5HPHt5-4EvscsKo_lL-BgeFoF9/view?usp=sharing,PDF,Chat_data.html,https://drive.google.com/file/d/1O5JTS9RDqS47ZmvbsAEA6HAM2ZFYftw5/view?usp=sharing,html,,,,./../../resources/2023LivePeopleLicense.html,Chat,London (United Kingdom),51.5,0.12,2022-09-18,2022-09-22,Diachronic-Interactions,unknown,"0,09 MB",parquet,csv,18,unknown,ChatApplication2,https://www.internetofus.eu/,London School of Economics,Digital University,3,2023-04-18,005.AAAG.AAE.CA,datadistribution.knowdive@unitn.it
2021-CH2-Trento-Questionnaire Exit Survey,"The dataset contains profiling questions, e.g., demographics, routines, personality. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_LivePeople_Chatbot2_Data_Descriptor,https://drive.google.com/file/d/1ilA2_f5HPHt5-4EvscsKo_lL-BgeFoF9/view?usp=sharing,PDF,Exit_survey.html,https://drive.google.com/file/d/1eUwf7xUvSUH5SoSmzr3MdELcUQaDu2pn/view?usp=sharing,html,,,,./../../resources/2023LivePeopleLicense.html,Questionnaire Exit Survey,Trento (Italy),46.07,11.13,2022-09-18,2022-09-22,Synchronic-Interactions,unknown,"0,03 MB",parquet,csv,31,unknown,ChatApplication2,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-04-18,005.AAAG.AAA.AA,datadistribution.knowdive@unitn.it
2021-CH2-Trento-Chat,"The dataset contains self-reported annotations in form of time diaries, provided by the participants every half hour. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_LivePeople_Chatbot2_Data_Descriptor,https://drive.google.com/file/d/1ilA2_f5HPHt5-4EvscsKo_lL-BgeFoF9/view?usp=sharing,PDF,Chat_data.html,https://drive.google.com/file/d/1O5JTS9RDqS47ZmvbsAEA6HAM2ZFYftw5/view?usp=sharing,html,,,,./../../resources/2023LivePeopleLicense.html,Chat,Trento (Italy),46.07,11.13,2022-09-18,2022-09-22,Diachronic-Interactions,unknown,"0,18 MB",parquet,csv,26,unknown,ChatApplication2,https://www.internetofus.eu/,University of Trento - KnowDive,Digital University,3,2023-04-18,005.AAAG.AAA.CA,datadistribution.knowdive@unitn.it
2021-CH2-Ulan Bator-Questionnaire Exit Survey,"The dataset contains profiling questions, e.g., demographics, routines, personality. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_LivePeople_Chatbot2_Data_Descriptor,https://drive.google.com/file/d/1ilA2_f5HPHt5-4EvscsKo_lL-BgeFoF9/view?usp=sharing,PDF,Exit_survey.html,https://drive.google.com/file/d/1eUwf7xUvSUH5SoSmzr3MdELcUQaDu2pn/view?usp=sharing,html,,,,./../../resources/2023LivePeopleLicense.html,Questionnaire Exit Survey,Ulan Bator (Mongolia),47.92,106.9,2022-09-18,2022-09-22,Synchronic-Interactions,unknown,"0,03 MB",parquet,csv,31,unknown,ChatApplication2,https://www.internetofus.eu/,National University of Mongolia,Digital University,3,2023-04-18,005.AAAG.AAB.AA,datadistribution.knowdive@unitn.it
2021-CH2-Ulan Bator-Chat,"The dataset contains self-reported annotations in form of time diaries, provided by the participants every half hour. The dataset was collected as part of the WeNet project, a Horizon 2020 funded project that aims at developing a diversity-aware, machine-mediated paradigm for social interactions.",2023-download_request_licence,https://docs.google.com/document/d/1z8ccEy-kpU1JH_c10ZkmSXBtVR2pSjTZ/edit?usp=sharing&ouid=115152165529068850258&rtpof=true&sd=true,docx,2022_LivePeople_Chatbot2_Data_Descriptor,https://drive.google.com/file/d/1ilA2_f5HPHt5-4EvscsKo_lL-BgeFoF9/view?usp=sharing,PDF,Chat_data.html,https://drive.google.com/file/d/1O5JTS9RDqS47ZmvbsAEA6HAM2ZFYftw5/view?usp=sharing,html,,,,./../../resources/2023LivePeopleLicense.html,Chat,Ulan Bator (Mongolia),47.92,106.9,2022-09-18,2022-09-22,Diachronic-Interactions,unknown,"0,80 MB",parquet,csv,28,unknown,ChatApplication2,https://www.internetofus.eu/,National University of Mongolia,Digital University,3,2023-04-18,005.AAAG.AAB.CA,datadistribution.knowdive@unitn.it
